date,cases,country,city
2020-06-16,5,Finland,Helsinki
2020-06-17,3,Finland,Helsinki
2020-06-18,6,Finland,Helsinki
2020-06-19,0,Finland,Helsinki
2020-06-20,2,Finland,Helsinki
2020-06-21,10,Finland,Helsinki
2020-06-22,4,Finland,Helsinki
2020-06-23,3,Finland,Helsinki
2020-06-24,11,Finland,Helsinki
2020-06-25,6,Finland,Helsinki
2020-06-26,3,Finland,Helsinki
2020-06-27,2,Finland,Helsinki
2020-06-28,7,Finland,Helsinki
2020-06-29,12,Finland,Helsinki
2020-06-30,7,Finland,Helsinki
2020-07-01,2,Finland,Helsinki
2020-07-02,7,Finland,Helsinki
2020-07-03,2,Finland,Helsinki
2020-07-04,2,Finland,Helsinki
2020-07-05,2,Finland,Helsinki
2020-07-06,2,Finland,Helsinki
2020-07-07,0,Finland,Helsinki
2020-07-08,0,Finland,Helsinki
2020-07-09,3,Finland,Helsinki
2020-07-10,1,Finland,Helsinki
2020-07-11,0,Finland,Helsinki
2020-07-12,3,Finland,Helsinki
2020-07-13,3,Finland,Helsinki
2020-07-14,3,Finland,Helsinki
2020-07-15,4,Finland,Helsinki
2020-07-16,5,Finland,Helsinki
2020-07-17,5,Finland,Helsinki
2020-07-18,2,Finland,Helsinki
2020-07-19,5,Finland,Helsinki
2020-07-20,4,Finland,Helsinki
2020-07-21,7,Finland,Helsinki
2020-07-22,6,Finland,Helsinki
2020-07-23,1,Finland,Helsinki
2020-07-24,8,Finland,Helsinki
2020-07-25,4,Finland,Helsinki
2020-07-26,4,Finland,Helsinki
2020-07-27,9,Finland,Helsinki
2020-07-28,5,Finland,Helsinki
2020-07-29,8,Finland,Helsinki
2020-07-30,4,Finland,Helsinki
2020-07-31,13,Finland,Helsinki
2020-08-01,8,Finland,Helsinki
2020-08-02,7,Finland,Helsinki
2020-08-03,26,Finland,Helsinki
2020-08-04,19,Finland,Helsinki
2020-08-05,18,Finland,Helsinki
2020-08-06,15,Finland,Helsinki
2020-08-07,11,Finland,Helsinki
2020-08-08,6,Finland,Helsinki
2020-08-09,23,Finland,Helsinki
2020-08-10,12,Finland,Helsinki
2020-08-11,23,Finland,Helsinki
2020-08-12,16,Finland,Helsinki
2020-08-13,13,Finland,Helsinki
2020-08-14,17,Finland,Helsinki
2020-08-15,11,Finland,Helsinki
2020-08-16,31,Finland,Helsinki
2020-08-17,20,Finland,Helsinki
2020-08-18,20,Finland,Helsinki
2020-08-19,34,Finland,Helsinki
2020-08-20,17,Finland,Helsinki
2020-08-21,12,Finland,Helsinki
2020-08-22,8,Finland,Helsinki
2020-08-23,7,Finland,Helsinki
2020-08-24,12,Finland,Helsinki
2020-08-25,9,Finland,Helsinki
2020-08-26,14,Finland,Helsinki
2020-08-27,21,Finland,Helsinki
2020-08-28,13,Finland,Helsinki
2020-08-29,7,Finland,Helsinki
2020-08-30,11,Finland,Helsinki
2020-08-31,19,Finland,Helsinki
2020-09-01,17,Finland,Helsinki
2020-09-02,15,Finland,Helsinki
2020-09-03,16,Finland,Helsinki
2020-09-04,24,Finland,Helsinki
2020-09-05,13,Finland,Helsinki
2020-09-06,17,Finland,Helsinki
2020-09-07,22,Finland,Helsinki
2020-09-08,19,Finland,Helsinki
2020-09-09,22,Finland,Helsinki
2020-09-10,17,Finland,Helsinki
2020-09-11,25,Finland,Helsinki
2020-09-12,14,Finland,Helsinki
2020-09-13,15,Finland,Helsinki
2020-09-14,15,Finland,Helsinki
2020-09-15,25,Finland,Helsinki
2020-09-16,25,Finland,Helsinki
2020-09-17,42,Finland,Helsinki
2020-09-18,42,Finland,Helsinki
2020-09-19,41,Finland,Helsinki
2020-09-20,41,Finland,Helsinki
2020-09-21,66,Finland,Helsinki
2020-09-22,52,Finland,Helsinki
2020-09-23,69,Finland,Helsinki
2020-09-24,67,Finland,Helsinki
2020-09-25,85,Finland,Helsinki
2020-09-26,47,Finland,Helsinki
2020-09-27,53,Finland,Helsinki
2020-09-28,84,Finland,Helsinki
2020-09-29,81,Finland,Helsinki
2020-09-30,94,Finland,Helsinki
2020-10-01,79,Finland,Helsinki
2020-10-02,79,Finland,Helsinki
2020-10-03,72,Finland,Helsinki
2020-10-04,78,Finland,Helsinki
2020-10-05,119,Finland,Helsinki
2020-10-06,129,Finland,Helsinki
2020-10-07,120,Finland,Helsinki
2020-10-08,136,Finland,Helsinki
2020-10-09,126,Finland,Helsinki
2020-10-10,53,Finland,Helsinki
2020-10-11,74,Finland,Helsinki
2020-10-12,135,Finland,Helsinki
2020-10-13,118,Finland,Helsinki
2020-10-14,87,Finland,Helsinki
2020-10-15,117,Finland,Helsinki
2020-10-16,119,Finland,Helsinki
2020-10-17,51,Finland,Helsinki
2020-10-18,85,Finland,Helsinki
2020-10-19,127,Finland,Helsinki
2020-10-20,90,Finland,Helsinki
2020-10-21,105,Finland,Helsinki
2020-10-22,111,Finland,Helsinki
2020-10-23,104,Finland,Helsinki
2020-10-24,66,Finland,Helsinki
2020-10-25,71,Finland,Helsinki
2020-10-26,133,Finland,Helsinki
2020-10-27,121,Finland,Helsinki
2020-10-28,121,Finland,Helsinki
2020-10-29,100,Finland,Helsinki
2020-10-30,123,Finland,Helsinki
2020-10-31,72,Finland,Helsinki
2020-11-01,93,Finland,Helsinki
2020-11-02,155,Finland,Helsinki
2020-11-03,149,Finland,Helsinki
2020-11-04,126,Finland,Helsinki
2020-11-05,138,Finland,Helsinki
2020-11-06,116,Finland,Helsinki
2020-11-07,94,Finland,Helsinki
2020-11-08,80,Finland,Helsinki
2020-11-09,162,Finland,Helsinki
2020-11-10,127,Finland,Helsinki
2020-11-11,147,Finland,Helsinki
2020-11-12,194,Finland,Helsinki
2020-11-13,167,Finland,Helsinki
2020-11-14,91,Finland,Helsinki
2020-11-15,110,Finland,Helsinki
2020-11-16,241,Finland,Helsinki
2020-11-17,258,Finland,Helsinki
2020-11-18,241,Finland,Helsinki
2020-11-19,320,Finland,Helsinki
2020-11-20,264,Finland,Helsinki
2020-11-21,180,Finland,Helsinki
2020-11-22,162,Finland,Helsinki
2020-11-23,261,Finland,Helsinki
2020-11-24,283,Finland,Helsinki
2020-11-25,299,Finland,Helsinki
2020-11-26,262,Finland,Helsinki
2020-11-27,242,Finland,Helsinki
2020-11-28,151,Finland,Helsinki
